InteractionNumber,ElapsedTime,SplitTime,missCount
0.1661853,-0.03122431,0.2905131,6.987067,311.4243,356.9151
0.133165,-0.02805882,0.2716791,6.14347,305.0287,357.3537
0.08326671,-0.03316194,0.2481003,6.610264,296.7091,356.4142
0.03943272,-0.02290275,0.2279457,0.6701443,290.2007,357.3887
0.0122663,-0.01936381,0.2162873,356.8399,287.5491,359.2841
-0.02335233,-0.04466109,0.2140403,10.99811,285.7822,357.5579
-0.06356701,-0.0908891,0.2171712,32.18901,283.6461,356.3979
-0.1048116,-0.1345915,0.2122519,47.7154,277.6081,356.1007
-0.168156,-0.1782015,0.1892513,56.81872,269.734,355.696
-0.1941201,-0.1953601,0.1704229,60.23567,266.6808,354.3904
-0.2064877,-0.2054398,0.1500106,61.32764,267.2631,356.8098
-0.2015203,-0.1916443,0.1462617,58.86989,270.3843,357.5828
