InteractionNumber,touched
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
12.5341,-0.2195221,-0.05009855,-0.01141673,4.519439,334.3711,4.869012,0.2195221,1.449901,9.861417,0.5486683,1.230959,9.876627,0.1373324,1.066194,9.636611
12.63439,-0.2250889,-0.05433571,-0.01980344,7.038651,335.089,4.916809,0.2250889,1.445664,9.869803,0.5270833,1.24448,9.866776,0.1422286,1.050948,9.645384
12.74724,-0.2403671,-0.05616128,-0.03156224,7.833677,336.5165,5.304608,0.2403671,1.443839,9.881562,0.5310214,1.250255,9.865365,0.1545052,1.048843,9.663393
12.86131,-0.2722763,-0.06129492,-0.04446214,6.980485,338.9634,4.376122,0.2722763,1.438705,9.894463,0.5686201,1.255738,9.869783,0.1747272,1.035182,9.676185
12.96157,-0.321603,-0.0691553,-0.05613712,6.091193,340.9677,4.153174,0.321603,1.430845,9.906137,0.6258309,1.257746,9.878942,0.2124874,1.014164,9.690689
13.07152,-0.3976927,-0.07183161,-0.06995574,6.689331,341.0309,3.438908,0.3976927,1.428168,9.919956,0.714353,1.280844,9.893965,0.2838421,0.9942278,9.707723
13.18454,-0.4721813,-0.06143978,-0.07395733,5.925943,340.7488,2.484243,0.4721813,1.43856,9.923957,0.8033276,1.352649,9.90108,0.3607039,0.9956393,9.715569
13.30353,-0.5273541,-0.04590615,-0.07213227,5.211344,341.3275,1.192502,0.5273541,1.454094,9.922132,0.8481989,1.416948,9.895138,0.4248088,1.011706,9.726091
13.40917,-0.561976,-0.0389336,-0.08030292,3.616664,339.3237,5.123897,0.561976,1.461066,9.930303,0.8377003,1.505854,9.892693,0.4642388,1.027214,9.733563
13.52194,-0.6016443,-0.05089118,-0.09028293,359.5184,338.0597,2.399438,0.6016443,1.449109,9.940283,0.8407722,1.584952,9.894078,0.4880849,1.019077,9.714334
13.62381,-0.6535495,-0.04214458,-0.09119932,355.1551,339.2702,1.225714,0.6535495,1.457855,9.941199,0.9116348,1.674017,9.907443,0.5160174,1.020135,9.720184
13.73426,-0.7209516,-0.02431575,-0.08689564,355.8243,341.4657,0.6189508,0.7209516,1.475684,9.936895,0.9808542,1.769756,9.93089,0.5721222,1.009087,9.718935
